AWP,Desalination - Inland,Desalination - Coastal,Major Conservation,Minor Conservation,Agriculture Conservation,Rainwater Harvesting,Cost,Resilience,Feasibility
0.24828147936070688,0.9431516988552655,0.011742392352216378,0.9144319100245362,0.9330908322091167,0.9331914945845996,0.988223486439477,8620506.453359261,3.9523833571087232,2.6759961891404225
0.025083980316505605,0.004209560824130924,0.012393027079347849,0.9722543103200688,0.9820423470872964,0.040423434371216926,0.9460343784699148,67733501.63370185,4.626931947795992,2.348987732154046
0.03228390339347553,0.004245783292432189,0.000510036666744788,0.0012801952402609967,0.967589254373852,0.002821914439139029,0.973608009099194,125187107.90446499,4.958161862170754,2.527277858495804
0.03622181957476556,0.004187577152359446,0.000510036666744788,0.000460170404995755,0.008043839556730326,0.0014972613904697257,0.6473423682896051,155048430.6608931,4.873265656140764,3.038964931695457
0.9348069287539694,0.003929497743891938,0.0008253107083062531,0.0009133290861441495,0.00791409381573229,0.002302609636481655,0.007665867925637837,107950529.79976286,3.030908141792639,3.965353808201397
0.9384778719052367,0.918308815852209,0.0007976473806940313,0.03599874304839781,0.9796465397748791,0.9275094286993504,0.9814220474914838,19600948.245726854,3.8294448482502936,2.983696689265848
0.9376039802462,0.029505546285292276,0.0006087523483937303,0.0009301032723645371,0.016078730696299108,0.010191432706169068,0.31973912545719607,105690451.91865894,3.4964356608131206,3.6997915991476424
0.9733605193895964,0.0054186356779744715,0.0007988016352900678,0.0009192243690101179,0.01742047935249449,0.2565649214970579,0.05287143737697697,93173304.59563631,3.299727951440448,3.729888002749929
0.9451308663290271,0.007738210310422067,0.0009526105478977224,0.0009174116267114799,0.04032415046611411,0.0009439770823006927,0.3442550549500165,105104027.86233732,3.568790892135247,3.6737014883415777
0.98414146266474,0.0014697142151232929,0.012739033246766625,0.001196903673469113,0.2388076022666047,0.9307688661975217,0.9572839799776957,49915132.214878865,4.05870399843972,3.233941963393096
0.9000477278659009,0.004555635035726084,0.006100535329378156,0.0004479914296271633,0.03384756210723183,0.009404554634803275,0.02161494135892622,108625836.36117828,3.112827095092974,3.880773514665051
0.9000477278659009,0.001040958792740862,0.006100535329378156,0.0004479914296271633,0.016189775210314537,0.109484732742406,0.0259832401411903,104379268.79643117,3.1766620889859505,3.8282012638337357
0.16867319683083104,0.0006364076977340141,0.012635580162000396,0.00104946115476795,0.33188453817799407,0.02992782903725774,0.9518571967405298,135285394.53597605,4.7273004560674785,2.8818062318150584
0.12980435558991893,0.0010068495144422017,0.011585017468198027,0.8800298625199698,0.9856232700277615,0.230682352444202,0.976372058214635,57939770.68428063,4.562036988641111,2.456492256011977
0.9776879964830698,0.005295725766863408,0.005840359492506083,0.0014659063606322856,0.13109059826458921,0.12011915977560843,0.3313111905694504,94848383.10754853,3.658218056843309,3.5336249340429418
0.4121500807559624,0.01986994299556255,0.013117878116000067,0.0658779513953025,0.03886952253284698,0.061429797765137906,0.9883687482418583,125054323.57216528,4.343263153621514,3.183964297384564
0.9946116089735212,0.0011038661140062144,0.012324209304772734,0.0013257966742743774,0.9815731461693565,0.9852386528902796,0.9572839799776957,24536673.56806304,4.233226999243851,2.999844527978174
0.9977555937583196,0.0006426698035490418,0.012657376428701567,0.0025926224411027916,0.016515014363486857,0.2322619965392173,0.0023800083051513966,92961700.98173414,3.205047070762675,3.7637464790412984
0.9403267993062774,0.9425958907043652,0.013097216294252968,0.06631518071147521,0.04017152329316914,0.917089507540824,0.9814220474914838,45886337.58376718,3.53086108165854,3.21039196543589
0.9988803105206098,0.003987125077414056,0.0008365952158758017,0.00437587047036142,0.025034658735217874,0.0022817996400566476,0.01422761360245042,103680636.14874463,3.076559316993046,3.9228382837797318
0.9947003497754174,0.005378255838679526,0.00013532198923542368,0.0022563928302494645,0.057261846312164466,0.11465453202229797,0.014142178294857562,97688494.00667758,3.213882389519108,3.786726184520194
